"Latest: Time (s)","Latest: Illumination 2 (lux)","Latest: Force (N)","Latest: Illumination 1 (lux)"
1.4125,,-1.15030091525,764.748077393
1.415,,-1.05041260329,764.748077393
1.4175,,-1.07558131182,764.748077393
1.42,,-0.963108645592,764.748077393
1.4225,,-1.14400873812,764.748077393
1.425,,-1.17546962378,764.748077393
1.4275,,-1.03192933297,764.748077393
1.43,,-1.04451368723,764.748077393
1.4325,,-1.21912160263,764.748077393
1.435,,-1.00676062444,764.748077393
1.4375,,-0.988277354118,764.748077393
1.44,,-0.913557750682,764.748077393
1.4425,,-0.819961615853,764.748077393
1.445,,-0.938333198137,540.995025635
1.4475,,-0.925748843874,445.97869873
1.45,,-0.826253792984,420.083312988
1.4525,,-0.776309637004,414.126434326
1.455,,-0.851029240439,419.531097412
1.4575,,-0.751140928478,420.459289551
1.46,,-0.80737726159,423.807830811
1.4625,,-1.11923329066,420.459289551
1.465,,-0.832545970115,416.734771729
1.4675,,-0.80737726159,420.835266113
1.47,,-0.770017459872,424.92401123
1.4725,,-0.932041021006,437.789459229
1.475,,-0.869905771833,451.195373535
1.4775,,-0.85732141757,457.351989746
1.48,,-1.13181764493,464.613037109
1.4825,,-1.18136853984,458.656158447
1.485,,-1.23760487295,467.409362793
1.4875,,-1.16917744665,502.98614502
1.49,,-0.919849927814,621.853485107
1.4925,,-0.981985176986,764.748077393
1.495,,-0.938333198137,764.748077393
1.4975,,-0.994569531249,764.748077393
1.5,,-0.975692999855,764.748077393
1.5025,,-1.21912160263,764.748077393
1.505,,-1.23131269582,764.748077393
1.5075,,-1.38114516376,764.748077393
1.51,,-1.33120100778,764.748077393
1.5125,,-1.33120100778,764.748077393
1.515,,-1.33749318491,764.748077393
1.5175,,-1.10035675927,764.748077393
1.52,,-1.10035675927,764.748077393
1.5225,,-1.20653724836,764.748077393
1.525,,-1.02563715584,764.748077393
1.5275,,-0.913557750682,764.748077393
1.53,,-0.907265573551,764.748077393
1.5325,,-1.05670478042,707.916870117
1.535,,-0.988277354118,513.983459473
1.5375,,-0.957209729531,441.32598877
1.54,,-0.969400822723,419.719085693
1.5425,,-0.975692999855,419.15512085
1.545,,-0.938333198137,412.634277344
1.5475,,-0.851029240439,421.575469971
1.55,,-0.71378112676,423.067626953
1.5525,,-0.732657658154,419.895324707
1.555,,-0.813669438721,416.170806885
1.5575,,-0.770017459872,425.675964355
1.56,,-0.85732141757,435.35736084
1.5625,,-1.0382215101,449.526977539
1.565,,-0.938333198137,454.367675781
1.5675,,-0.9509175524,461.440734863
1.57,,-1.03192933297,462.38067627
1.5725,,-1.03192933297,458.468170166
1.575,,-1.37485298663,462.744903564
1.5775,,-1.49322456891,492.188568115
1.58,,-1.25018922721,560.745544434
1.5825,,-1.58052852661,688.542327881
1.585,,-1.13181764493,764.748077393
1.5875,,-1.10035675927,764.748077393
1.59,,-1.01305280157,764.748077393
1.5925,,-1.06928913468,764.748077393
1.595,,-1.30603229925,764.748077393
1.5975,,-1.13771656099,764.748077393
1.6,,-0.907265573551,764.748077393
1.6025,,-0.85732141757,764.748077393
1.605,,-0.720073303892,764.748077393
1.6075,,-0.788893991266,764.748077393
1.61,,-0.894681219288,764.748077393
1.6125,,-0.900973396419,764.748077393
1.615,,-1.09406458214,764.748077393
1.6175,,-0.900973396419,764.748077393
1.62,,-0.71378112676,764.748077393
1.6225,,-1.05041260329,764.748077393
1.625,,-1.42479714261,536.518554688
1.6275,,-1.64895595291,443.558349609
1.63,,-1.22502051869,422.503662109
1.6325,,-1.20024507123,418.779144287
1.635,,-0.776309637004,413.198242188
1.6375,,-0.770017459872,423.995819092
1.64,,-0.913557750682,420.083312988
1.6425,,-0.757433105609,418.226928711
1.645,,-0.770017459872,420.083312988
1.6475,,-0.80737726159,426.051940918
1.65,,-0.963108645592,436.849517822
1.6525,,-0.819961615853,454.1796875
1.655,,-0.751140928478,452.311553955
1.6575,,-0.707488949629,463.496856689
1.66,,-0.80737726159,465.541229248
1.6625,,-0.80737726159,467.409362793
1.665,,-0.894681219288,478.770904541
1.6675,,-1.00086170838,538.762664795
1.67,,-1.07558131182,651.097412109
1.6725,,-0.900973396419,764.748077393
1.675,,-0.932041021006,764.748077393
1.6775,,-1.02563715584,764.748077393
1.68,,-0.957209729531,764.748077393
1.6825,,-0.919849927814,764.748077393
1.685,,-0.963108645592,764.748077393
1.6875,,-1.13181764493,764.748077393
1.69,,-1.13181764493,764.748077393
1.6925,,-0.9509175524,764.748077393
1.695,,-0.876197948965,764.748077393
1.6975,,-0.869905771833,764.748077393
1.7,,-0.738949835286,764.748077393
1.7025,,-0.701590033568,764.748077393
1.705,,-0.851029240439,764.748077393
1.7075,,-0.9509175524,764.748077393
1.71,,-0.763725282741,764.748077393
1.7125,,-0.938333198137,656.126098633
1.715,,-1.03192933297,484.551544189
1.7175,,-0.876197948965,425.111999512
1.72,,-0.869905771833,419.343109131
1.7225,,-0.869905771833,416.92276001
1.725,,-0.882096865025,416.546783447
1.7275,,-0.988277354118,418.967132568
1.73,,-1.17546962378,419.895324707
1.7325,,-1.11923329066,424.747772217
1.735,,-1.13181764493,420.459289551
1.7375,,-1.09406458214,439.833831787
1.74,,-0.975692999855,453.06350708
1.7425,,-0.801085084458,459.396362305
1.745,,-0.794792907327,459.396362305
1.7475,,-0.907265573551,462.744903564
1.75,,-1.20024507123,475.974578857
1.7525,,-1.41850496548,514.72366333
1.755,,-1.56794417235,630.418701172
1.7575,,-1.57423634948,764.748077393
1.76,,-1.23131269582,764.748077393
1.7625,,-1.35597645523,764.748077393
1.765,,-1.27496467467,764.748077393
