"Latest: Time (s)","Latest: Illumination 2 (lux)","Latest: Force (N)","Latest: Illumination 1 (lux)"
1.39,,-1.66154030718,465.541229248
1.3925,,-1.73625991061,475.598602295
1.395,,-1.60569723514,552.920532227
1.3975,,-1.58052852661,764.748077393
1.4,,-1.35597645523,764.748077393
1.4025,,-1.49951674604,764.748077393
1.405,,-1.55575307916,764.748077393
1.4075,,-1.73036099455,764.748077393
1.41,,-1.74255208774,764.748077393
1.4125,,-1.72406881742,764.748077393
1.415,,-1.23131269582,764.748077393
1.4175,,-1.08816566608,764.748077393
1.42,,-1.21282942549,764.748077393
1.4225,,-1.3496842781,764.748077393
1.425,,-1.58682070374,764.748077393
1.4275,,-1.76772079627,764.748077393
1.43,,-1.6989001089,502.798156738
1.4325,,-1.11923329066,434.805145264
1.435,,-1.37485298663,425.111999512
1.4375,,-1.53687654776,427.356109619
1.44,,-1.16288526951,428.66027832
1.4425,,-1.18766071697,429.588470459
1.445,,-1.1255254678,435.545349121
1.4475,,-1.09406458214,452.875518799
1.45,,-1.15659309238,467.03338623
1.4525,,-1.36226863237,475.786590576
1.455,,-1.44957259006,559.253387451
1.4575,,-1.55575307916,764.748077393
1.46,,-1.58682070374,764.748077393
1.4625,,-1.33749318491,764.748077393
1.465,,-1.16917744665,764.748077393
1.4675,,-1.46844912146,764.748077393
1.47,,-1.53058437063,764.748077393
1.4725,,-1.4369882358,764.748077393
1.475,,-1.48064021465,764.748077393
1.4775,,-1.54946090202,764.748077393
1.48,,-1.62418050546,764.748077393
1.4825,,-1.50580892318,764.748077393
1.485,,-1.59311288087,626.318206787
1.4875,,-1.67412466144,465.541229248
1.49,,-1.57423634948,426.228179932
1.4925,,-1.57423634948,429.588470459
1.495,,-1.48064021465,425.299987793
1.4975,,-1.48693239178,427.356109619
1.5,,-1.1939528941,428.472290039
1.5025,,-0.932041021006,444.486541748
1.505,,-0.988277354118,457.716217041
1.5075,,-1.44957259006,469.641723633
1.51,,-1.43108931974,492.928771973
1.5125,,-1.22502051869,647.560882568
1.515,,-1.03192933297,764.748077393
1.5175,,-1.07558131182,764.748077393
1.52,,-1.30603229925,764.748077393
1.5225,,-1.02563715584,764.748077393
1.525,,-1.13181764493,764.748077393
1.5275,,-1.21912160263,764.748077393
1.53,,-1.46844912146,764.748077393
1.5325,,-1.44328041293,764.748077393
1.535,,-1.54946090202,764.748077393
1.5375,,-1.24389705008,764.748077393
1.54,,-1.1066489364,764.748077393
1.5425,,-1.30603229925,581.048278809
1.545,,-1.48064021465,441.138000488
1.5475,,-1.58052852661,425.111999512
1.55,,-1.60569723514,424.92401123
1.5525,,-1.53687654776,429.400482178
1.555,,-1.22502051869,427.908325195
1.5575,,-1.27496467467,434.617156982
1.56,,-1.31861665352,452.135314941
1.5625,,-1.31232447638,464.425048828
1.565,,-1.31232447638,477.278747559
1.5675,,-1.21912160263,572.483062744
1.57,,-1.26277358147,764.748077393
1.5725,,-1.50580892318,764.748077393
1.575,,-1.44957259006,764.748077393
1.5775,,-1.599405058,764.748077393
1.58,,-1.57423634948,764.748077393
1.5825,,-1.61788832833,764.748077393
1.585,,-1.33120100778,764.748077393
1.5875,,-1.06299695755,764.748077393
1.59,,-1.1255254678,764.748077393
1.5925,,-1.07558131182,764.748077393
1.595,,-1.08187348895,764.748077393
1.5975,,-1.28754902893,638.807678223
1.6,,-1.56794417235,459.584350586
1.6025,,-1.53687654776,433.876953125
1.605,,-1.56794417235,423.619842529
1.6075,,-1.78620406659,428.284301758
1.61,,-1.30013338319,420.835266113
1.6125,,-1.37485298663,426.980133057
1.615,,-1.74884426488,435.35736084
1.6175,,-1.82985604544,458.092193604
1.62,,-1.55575307916,458.656158447
1.6225,,-1.66783248431,474.294433594
1.625,,-1.56204525629,588.685302734
1.6275,,-1.35597645523,764.748077393
1.63,,-1.21912160263,764.748077393
1.6325,,-1.39333625695,764.748077393
1.635,,-1.43108931974,764.748077393
1.6375,,-1.6115961512,764.748077393
1.64,,-1.72406881742,764.748077393
1.6425,,-1.71777664029,764.748077393
1.645,,-1.35597645523,764.748077393
1.6475,,-1.15030091525,764.748077393
1.65,,-1.05670478042,764.748077393
1.6525,,-1.08816566608,764.748077393
1.655,,-1.599405058,764.748077393
1.6575,,-1.53058437063,516.215820313
1.66,,-1.38743734089,432.384796143
1.6625,,-1.28754902893,423.067626953
1.665,,-1.49951674604,430.140686035
1.6675,,-1.33749318491,425.487976074
1.67,,-1.30013338319,421.951446533
1.6725,,-1.16288526951,429.212493896
1.675,,-1.16917744665,450.079193115
1.6775,,-1.1066489364,462.004699707
1.68,,-1.08816566608,470.017700195
1.6825,,-1.03192933297,543.603363037
1.685,,-1.08816566608,764.748077393
1.6875,,-1.00676062444,764.748077393
1.69,,-1.15659309238,764.748077393
1.6925,,-1.21282942549,764.748077393
1.695,,-1.44328041293,764.748077393
1.6975,,-1.18766071697,764.748077393
1.7,,-1.06928913468,764.748077393
1.7025,,-1.05670478042,764.748077393
1.705,,-1.2812568518,764.748077393
1.7075,,-1.34378536204,764.748077393
1.71,,-1.26867249754,764.748077393
1.7125,,-1.23131269582,700.467834473
1.715,,-1.25648140434,487.336120605
1.7175,,-1.26867249754,427.356109619
1.72,,-1.28754902893,425.675964355
1.7225,,-1.26867249754,425.675964355
1.725,,-1.1939528941,428.284301758
1.7275,,-1.20653724836,421.575469971
1.73,,-1.36226863237,431.632843018
1.7325,,-1.55575307916,455.107879639
1.735,,-1.58682070374,460.700531006
1.7375,,-1.56204525629,470.569915771
1.74,,-1.58682070374,579.368133545
1.7425,,-1.53058437063,764.748077393
1.745,,-1.44328041293,764.748077393
1.7475,,-1.47474129859,764.748077393
1.75,,-1.57423634948,764.748077393
1.7525,,-1.71777664029,764.748077393
1.755,,-1.74884426488,764.748077393
1.7575,,-1.1255254678,764.748077393
1.76,,-0.957209729531,764.748077393
1.7625,,-0.994569531249,764.748077393
1.765,,-0.981985176986,764.748077393
